price,boillinger_top,boillinger_bottom,klinger,rsi
0.017586,0.017631,0.017536,-7.0,46.26
0.017591,0.017631,0.017536,-2.0,48.63
0.017584,0.017631,0.017536,-6.0,45.60
0.017596,0.017631,0.017536,-3.0,51.21
0.017580,0.017631,0.017538,-6.0,44.60
0.017579,0.017629,0.017541,-9.0,44.22
0.017587,0.017629,0.017543,-1.0,48.07
0.017593,0.017629,0.017545,-1.0,50.81
0.017589,0.017628,0.017547,3.0,48.96
0.017587,0.017627,0.017549,-43.0,48.01
0.017577,0.017627,0.017550,-27.0,43.49
0.017571,0.017626,0.017552,-26.0,41.00
0.017566,0.017626,0.017552,-20.0,38.85
0.017554,0.017626,0.017551,-20.0,34.21
0.017573,0.017626,0.017551,-11.0,45.34
0.017556,0.017627,0.017550,-11.0,38.98
0.017566,0.017627,0.017550,-5.0,43.96
0.017557,0.017627,0.017550,0.0,40.51
0.017569,0.017627,0.017550,9.0,46.54
0.017549,0.017627,0.017549,6.0,39.38
0.017559,0.017628,0.017549,8.0,44.02
0.017552,0.017629,0.017546,-7.0,41.44
0.017553,0.017629,0.017544,-12.0,41.96
0.017557,0.017629,0.017542,-2.0,44.11
0.017562,0.017628,0.017541,2.0,46.76
0.017560,0.017628,0.017540,18.0,45.82
0.017549,0.017627,0.017539,12.0,40.97
0.017552,0.017626,0.017537,7.0,42.75
0.017549,0.017624,0.017536,12.0,41.40
0.017551,0.017621,0.017536,8.0,42.70
0.017535,0.017620,0.017531,6.0,34.97
0.017536,0.017620,0.017527,-5.0,35.82
0.017544,0.017620,0.017525,1.0,42.26
0.017546,0.017618,0.017524,6.0,43.77
0.017570,0.017617,0.017525,13.0,58.04
0.017576,0.017615,0.017525,14.0,60.72
0.017574,0.017612,0.017527,14.0,59.36
0.017584,0.017609,0.017528,15.0,63.74
0.017587,0.017606,0.017530,28.0,64.96
0.017588,0.017604,0.017531,27.0,65.38
0.017575,0.017602,0.017532,19.0,56.02
0.017580,0.017601,0.017533,9.0,58.48
0.017584,0.017601,0.017532,9.0,60.39
0.017566,0.017601,0.017532,-5.0,49.38
0.017557,0.017600,0.017532,-12.0,44.96
0.017560,0.017599,0.017532,-14.0,46.68
0.017552,0.017596,0.017533,-14.0,42.58
0.017560,0.017595,0.017532,-7.0,47.54
0.017588,0.017596,0.017532,0.0,60.42
0.017572,0.017595,0.017533,9.0,52.49
0.017580,0.017593,0.017533,0.0,55.62
0.017576,0.017592,0.017534,6.0,53.71
0.017562,0.017591,0.017534,2.0,47.56
0.017559,0.017590,0.017534,-8.0,46.34
0.017563,0.017590,0.017534,2.0,48.25
0.017557,0.017590,0.017534,-4.0,45.62
0.017561,0.017590,0.017534,4.0,47.67
0.017565,0.017590,0.017534,7.0,49.71
0.017567,0.017589,0.017534,8.0,50.74
0.017579,0.017590,0.017534,10.0,56.51
0.017583,0.017591,0.017534,10.0,58.27
0.017601,0.017594,0.017532,13.0,65.10
0.017582,0.017595,0.017532,2.0,54.89
0.017577,0.017595,0.017532,-3.0,52.55
0.017568,0.017596,0.017533,-6.0,48.55
0.017572,0.017596,0.017533,-9.0,50.36
0.017583,0.017597,0.017533,7.0,55.04
0.017592,0.017598,0.017533,11.0,58.49
0.017576,0.017599,0.017534,2.0,51.00
0.017562,0.017599,0.017534,-11.0,45.50
0.017560,0.017599,0.017534,-14.0,44.76
0.017565,0.017599,0.017534,-3.0,47.08
0.017541,0.017599,0.017534,-11.0,38.68
0.017550,0.017599,0.017533,1.0,42.80
0.017553,0.017599,0.017534,8.0,44.15
0.017548,0.017599,0.017534,1.0,42.36
0.017555,0.017599,0.017534,7.0,45.68
0.017550,0.017599,0.017534,-3.0,43.74
0.017536,0.017599,0.017534,-13.0,38.77
0.017547,0.017598,0.017535,4.0,44.14
0.017542,0.017598,0.017535,-5.0,42.33
0.017552,0.017598,0.017536,0.0,47.02
0.017559,0.017597,0.017537,5.0,50.08
0.017555,0.017597,0.017536,-36.0,48.36
0.017540,0.017597,0.017534,-90.0,42.08
0.017534,0.017597,0.017532,-81.0,39.84
0.017523,0.017597,0.017530,-80.0,36.07
0.017522,0.017597,0.017527,-41.0,35.74
0.017529,0.017597,0.017525,-44.0,39.90
0.017584,0.017598,0.017525,20.0,61.19
0.017558,0.017597,0.017525,66.0,51.84
0.017578,0.017597,0.017525,91.0,57.25
0.017550,0.017597,0.017525,62.0,48.96
0.017552,0.017597,0.017524,45.0,49.52
0.017550,0.017597,0.017524,57.0,48.94
0.017543,0.017597,0.017524,18.0,46.87
0.017549,0.017597,0.017523,9.0,48.87
0.017547,0.017595,0.017523,11.0,48.22
0.017552,0.017595,0.017523,14.0,50.01
0.017556,0.017594,0.017523,15.0,51.46
0.017554,0.017593,0.017523,23.0,50.67
0.017558,0.017593,0.017523,24.0,52.25
0.017553,0.017593,0.017523,9.0,50.09
0.017550,0.017593,0.017522,-8.0,48.78
0.017547,0.017593,0.017522,-10.0,47.46
0.017543,0.017592,0.017521,-14.0,45.67
0.017540,0.017592,0.017520,-35.0,44.22
0.017541,0.017591,0.017520,-16.0,44.85
0.017552,0.017589,0.017520,-8.0,51.34
0.017547,0.017585,0.017522,-9.0,48.54
0.017549,0.017583,0.017522,2.0,49.72
0.017544,0.017581,0.017523,8.0,46.62
0.017551,0.017580,0.017523,11.0,51.21
0.017545,0.017578,0.017524,2.0,47.45
0.017555,0.017574,0.017526,6.0,53.57
0.017556,0.017572,0.017527,9.0,54.14
0.017554,0.017572,0.017527,0.0,52.73
0.017549,0.017571,0.017527,-43.0,49.29
0.017538,0.017571,0.017527,-56.0,42.68
0.017535,0.017571,0.017526,-50.0,41.06
0.017533,0.017571,0.017525,-48.0,39.97
0.017536,0.017571,0.017525,-26.0,42.43
0.017533,0.017571,0.017524,-24.0,40.64
0.017564,0.017571,0.017524,-9.0,59.64
0.017560,0.017572,0.017524,2.0,57.10
0.017558,0.017572,0.017524,2.0,55.82
0.017553,0.017572,0.017524,2.0,52.65
0.017560,0.017573,0.017525,23.0,56.39
0.017579,0.017575,0.017524,26.0,64.57
0.017568,0.017576,0.017523,21.0,57.81
0.017563,0.017576,0.017523,13.0,54.99
0.017564,0.017577,0.017523,16.0,55.46
0.017567,0.017577,0.017523,19.0,56.90
0.017552,0.017577,0.017524,11.0,48.43
0.017550,0.017576,0.017526,7.0,47.42
0.017551,0.017575,0.017528,-1.0,48.00
0.017558,0.017575,0.017530,9.0,52.03
0.017574,0.017574,0.017531,14.0,59.72
0.017588,0.017577,0.017529,27.0,65.00
0.017597,0.017580,0.017527,39.0,67.92
0.017572,0.017581,0.017527,28.0,54.37
0.017560,0.017581,0.017527,20.0,49.29
0.017555,0.017581,0.017527,10.0,47.31
0.017543,0.017581,0.017527,6.0,42.85
0.017570,0.017582,0.017527,15.0,53.47
0.017573,0.017583,0.017527,20.0,54.49
0.017574,0.017584,0.017527,10.0,54.84
0.017563,0.017584,0.017527,4.0,50.23
0.017574,0.017585,0.017527,5.0,54.36
0.017567,0.017585,0.017527,5.0,51.43
0.017563,0.017585,0.017527,0.0,49.78
0.017564,0.017586,0.017527,-3.0,50.21
0.017552,0.017586,0.017528,-8.0,45.21
0.017527,0.017586,0.017526,-21.0,36.95
0.017522,0.017587,0.017524,-21.0,35.56
0.017427,0.017603,0.017504,-40.0,20.04
0.017402,0.017617,0.017485,-58.0,17.83
0.017430,0.017624,0.017473,-36.0,27.46
0.017450,0.017627,0.017466,-20.0,33.46
0.017456,0.017629,0.017460,-6.0,35.19
0.017439,0.017633,0.017452,-8.0,32.60
0.017455,0.017634,0.017447,2.0,37.28
0.017458,0.017636,0.017442,7.0,38.15
0.017482,0.017636,0.017439,13.0,44.73
0.017475,0.017636,0.017436,10.0,43.28
0.017469,0.017636,0.017433,7.0,42.03
0.017485,0.017635,0.017430,11.0,46.48
0.017476,0.017635,0.017428,7.0,44.41
0.017471,0.017635,0.017425,6.0,43.26
0.017479,0.017635,0.017423,9.0,45.69
0.017504,0.017635,0.017422,15.0,52.52
0.017489,0.017634,0.017420,9.0,48.57
