price,sar,volume,volume_ema,klinger1,klinger2,rsi,signal
0.017655,0.017755,654,1.089,-133,-44,53.15,1
0.017624,0.017748,591,1.105,-137,-57,47.24,1
0.017622,0.017741,525,1.111,-140,-69,46.88,1
0.017594,0.017735,569,1.129,-142,-80,42.02,1
0.017554,0.017723,519,1.141,-144,-89,36.24,1
0.017513,0.017703,1.245,1.188,-160,-99,31.47,1
0.017540,0.017684,405,1.195,-139,-105,37.32,2
0.017543,0.017667,767,1.207,-112,-106,37.96,1
0.017558,0.017651,366,1.201,-96,-104,41.17,1
0.017543,0.017637,749,1.204,-73,-100,39.00,1
0.017579,0.017611,558,1.116,-44,-87,46.68,1
0.017633,0.017469,471,982,-21,-71,56.19,1
0.017584,0.017476,398,897,-29,-65,47.65,1
0.017608,0.017483,165,838,-31,-60,51.53,1
0.017587,0.017490,291,824,-35,-56,48.17,1
0.017588,0.017496,371,649,-41,-54,48.34,1
0.017604,0.017502,449,593,-28,-50,51.15,1
0.017597,0.017508,480,516,-16,-46,49.87,1
0.017613,0.017514,506,509,-5,-40,52.78,1
0.017621,0.017519,225,491,-0,-34,54.21,1
0.017606,0.017525,463,488,-11,-31,51.08,1
0.017590,0.017534,1.083,506,-41,-31,47.80,1
0.017589,0.017539,286,458,-44,-33,47.59,1
0.017599,0.017544,306,453,-34,-33,49.99,1
0.017635,0.017550,967,463,-11,-30,57.55,1
0.017637,0.017557,489,469,0,-25,57.93,1
0.017640,0.017563,214,442,4,-21,58.53,1
0.017652,0.017570,340,442,11,-17,60.93,1
0.017660,0.017580,416,435,18,-12,62.49,1
0.017655,0.017590,296,429,10,-9,60.85,1
0.017641,0.017605,335,415,-5,-7,56.13,1
0.017661,0.017612,540,433,7,-5,60.61,1
0.017634,0.017618,430,440,-4,-5,52.77,1
0.017615,0.017672,438,444,-13,-6,48.06,0
0.017592,0.017669,571,450,-25,-9,43.06,0
0.017606,0.017665,640,458,-9,-9,46.70,1
0.017620,0.017662,810,473,8,-6,50.13,1
0.017596,0.017659,226,473,2,-5,44.80,1
0.017603,0.017656,340,467,-6,-5,46.59,1
0.017605,0.017650,344,423,-3,-5,47.11,1
0.017609,0.017648,226,420,-8,-6,48.29,1
0.017600,0.017645,551,433,4,-4,45.81,1
0.017601,0.017639,637,401,-15,-5,42.00,1
0.017568,0.017632,957,439,-34,-10,37.64,1
0.017586,0.017618,363,425,-23,-14,44.35,1
0.017577,0.017612,268,423,-27,-16,41.92,1
0.017512,0.017597,3.755,599,-105,-29,29.40,1
0.017500,0.017574,632,614,-82,-37,27.75,1
0.017503,0.017553,1.197,647,-100,-46,28.83,1
0.017500,0.017534,348,643,-83,-51,28.37,1
0.017494,0.017517,314,636,-82,-55,27.44,1
0.017516,0.017363,357,626,-66,-57,35.77,2
0.017524,0.017370,802,634,-42,-55,38.53,2
0.017521,0.017376,222,604,-32,-52,37.87,1
0.017515,0.017397,216,644,-7,-39,36.43,1
0.017520,0.017406,266,645,-11,-35,38.53,1
0.017560,0.017419,339,645,-2,-31,52.15,1
0.017591,0.017437,578,662,12,-24,59.62,1
0.017593,0.017456,476,659,22,-18,60.05,1
0.017604,0.017478,233,660,26,-12,62.44,1
0.017597,0.017500,628,660,11,-8,59.98,1
0.017598,0.017518,374,631,3,-7,60.23,1
0.017611,0.017533,177,634,8,-5,63.31,1
0.017653,0.017574,356,657,30,4,71.32,1
0.017625,0.017591,490,494,18,6,61.31,1
0.017629,0.017605,270,476,11,7,62.12,1
0.017639,0.017621,311,423,13,8,63.91,1
0.017619,0.017661,942,455,-7,5,57.04,0
0.017602,0.017657,911,482,-25,1,51.93,0
0.017591,0.017654,355,460,-30,-3,48.88,1
0.017586,0.017651,296,464,-33,-8,47.52,1
0.017585,0.017644,605,444,-31,-13,47.35,1
0.017570,0.017640,297,446,-34,-16,43.49,1
0.017579,0.017635,194,439,-25,-17,46.32,1
0.017569,0.017631,326,426,-29,-19,43.70,1
0.017550,0.017619,1.647,485,-60,-25,39.18,1
0.017551,0.017608,218,484,-49,-28,39.54,1
0.017503,0.017588,731,501,-65,-37,29.84,1
0.017515,0.017580,543,520,-69,-41,34.19,1
0.017505,0.017572,491,508,-72,-46,32.39,1
0.017516,0.017564,343,507,-56,-47,36.36,1
0.017542,0.017558,634,514,-35,-46,44.63,1
0.017545,0.017551,309,516,-23,-42,45.51,1
0.017548,0.017549,273,520,-13,-38,46.43,1
0.017556,0.017480,243,517,-4,-33,48.90,1
0.017555,0.017484,515,495,9,-27,48.59,1
0.017564,0.017489,289,464,17,-21,51.49,1
0.017541,0.017495,563,475,5,-17,44.57,1
0.017544,0.017500,225,471,2,-14,45.60,1
0.017545,0.017504,749,491,20,-9,45.96,1
0.017552,0.017509,303,476,27,-4,48.52,1
0.017579,0.017518,216,478,37,6,57.40,1
0.017575,0.017525,210,473,40,11,55.83,1
0.017555,0.017544,296,453,53,24,48.21,1
0.017554,0.017548,148,430,47,27,47.86,1
0.017548,0.017607,141,400,41,29,45.71,1
0.017538,0.017604,411,393,30,29,42.29,1
0.017544,0.017600,1.906,464,-12,23,44.95,1
0.017543,0.017596,276,461,-4,19,44.58,1
0.017535,0.017593,663,462,-16,14,41.64,1
0.017543,0.017589,1.287,511,14,14,45.51,1
0.017555,0.017586,261,511,20,15,50.79,1
0.017545,0.017583,202,508,15,15,46.73,1
0.017535,0.017580,279,497,9,14,43.02,1
0.017542,0.017577,813,523,27,16,46.24,1
0.017537,0.017575,295,510,20,17,44.31,1
0.017536,0.017570,1.331,554,37,18,43.89,1
0.017537,0.017568,384,558,26,20,44.46,1
0.017536,0.017566,219,552,30,21,43.98,1
0.017535,0.017564,298,556,22,21,43.47,1
0.017536,0.017562,5.384,815,136,37,44.17,1
0.017540,0.017561,658,789,138,52,46.97,1
0.017539,0.017559,165,782,130,63,46.34,1
0.017524,0.017555,708,810,103,69,38.12,1
0.017489,0.017547,225,814,89,72,26.37,1
0.017492,0.017541,330,810,73,72,28.41,1
0.017499,0.017535,172,724,70,72,33.06,1
0.017511,0.017530,177,719,67,71,40.24,1
0.017521,0.017528,406,706,69,71,45.48,2
0.017577,0.017482,644,674,76,71,64.34,2
0.017614,0.017488,756,699,84,73,71.39,2
0.017610,0.017494,329,705,82,74,69.78,1
0.017612,0.017514,506,682,79,75,67.71,1
0.017589,0.017525,359,685,62,73,59.30,1
0.017585,0.017545,167,610,41,66,56.23,1
0.017562,0.017553,259,603,30,61,50.42,1
0.017541,0.017653,265,606,19,55,44.63,1
0.017560,0.017651,164,599,19,50,50.20,1
