price,ema,volume,volume_ema,klinger,rsi,signal
0.017396,0.017390,428,469,-10.0,52.70,1
0.017392,0.017390,239,436,-13.0,50.85,1
0.017391,0.017390,167,428,-13.0,50.38,1
0.017401,0.017391,5820.0,698,96.0,54.91,1
0.017405,0.017393,152,670,76.0,56.62,1
0.017388,0.017392,351,677,50.0,48.26,1
0.017406,0.017394,335,681,41.0,55.72,1
0.017399,0.017394,277,684,33.0,52.54,1
0.017388,0.017393,337,692,14.0,47.93,1
0.017387,0.017393,538,708,-4.0,47.52,1
0.017363,0.017390,305,707,-15.0,38.93,1
0.017348,0.017386,527,726,-26.0,34.71,1
0.017345,0.017382,286,704,-30.0,33.92,1
0.017367,0.017381,474,721,-20.0,44.01,2
0.017374,0.017380,132,696,-17.0,46.79,0
0.017372,0.017379,120,661,-16.0,46.09,1
0.017375,0.017379,150,641,-13.0,47.37,1
0.017420,0.017383,283,595,-9.0,61.97,2
0.017439,0.017388,537,608,-1.0,66.23,2
0.017444,0.017393,389,592,3.0,67.27,1
0.017441,0.017398,184,580,-5.0,65.96,1
0.017440,0.017402,564,596,-18.0,65.50,1
0.017432,0.017405,761,626,-32.0,61.80,1
0.017435,0.017408,130,342,-26.0,62.65,1
0.017422,0.017409,142,341,-26.0,56.74,1
0.017426,0.017411,141,331,-24.0,58.05,1
0.017429,0.017412,286,328,-16.0,59.06,1
0.017420,0.017413,557,342,-25.0,54.83,1
0.017436,0.017418,152,323,-10.0,63.53,1
0.017465,0.017423,176,316,-6.0,68.13,1
0.017458,0.017426,423,311,2.0,64.71,1
0.017452,0.017429,155,305,-2.0,61.85,1
0.017454,0.017433,189,292,-2.0,62.49,1
0.017480,0.017438,1137.0,343,19.0,69.64,1
0.017491,0.017443,175,344,17.0,72.07,1
0.017478,0.017446,258,343,7.0,65.41,1
0.017489,0.017450,612,347,-7.0,68.10,1
0.017460,0.017451,551,355,-17.0,55.80,0
0.017413,0.017447,683,380,-27.0,42.43,0
0.017449,0.017448,3593.0,531,-88.0,51.93,1
0.017476,0.017450,357,511,-61.0,57.58,1
0.017437,0.017449,1107.0,560,-67.0,48.68,0
0.017423,0.017447,281,567,-55.0,45.93,1
0.017378,0.017440,1071.0,613,-58.0,38.43,0
0.017366,0.017433,544,626,-51.0,36.70,1
0.017372,0.017427,288,613,-29.0,38.20,1
0.017377,0.017422,445,618,-8.0,39.48,1
0.017362,0.017411,155,627,4.0,37.74,1
0.017393,0.017409,516,632,19.0,45.52,1
0.017392,0.017408,401,644,28.0,45.32,1
0.017386,0.017406,151,643,26.0,44.09,1
0.017366,0.017402,284,648,21.0,40.17,1
0.017373,0.017399,143,598,19.0,42.11,1
0.017375,0.017397,140,597,23.0,42.68,1
0.017377,0.017395,91,588,24.0,43.29,1
0.017381,0.017394,140,565,27.0,44.54,1
0.017376,0.017392,151,545,23.0,43.25,1
0.017372,0.017390,120,517,20.0,42.20,1
0.017353,0.017386,191,347,16.0,37.52,1
0.017358,0.017384,164,337,14.0,39.43,1
0.017372,0.017383,110,287,16.0,44.52,1
0.017397,0.017384,1392.0,343,42.0,52.24,2
0.017406,0.017386,108,294,38.0,54.69,1
0.017438,0.017391,567,296,43.0,62.11,22
0.017430,0.017395,287,295,40.0,59.49,1
0.017443,0.017402,282,285,36.0,62.48,1
0.017452,0.017407,648,310,40.0,64.43,1
0.017429,0.017410,803,315,5.0,53.82,1
0.017400,0.017409,428,329,-4.0,47.76,0
0.017416,0.017410,276,328,1.0,52.18,1
0.017347,0.017404,1816.0,412,-33.0,37.46,0
0.017346,0.017398,364,423,-20.0,37.30,1
0.017318,0.017391,940,466,-33.0,32.94,1
0.017344,0.017386,332,475,-19.0,39.95,1
0.017325,0.017375,298,491,-20.0,36.60,1
0.017334,0.017371,228,492,-10.0,39.65,1
0.017326,0.017367,251,497,-2.0,38.21,1
0.017320,0.017362,206,502,-3.0,37.12,1
