price,ema20,vol,vol_ema,sar,rsi
0.020078,0.020064,267,805,5.7999999999999025e-05,53.76
0.020079,0.020065,310,800,5.6000000000000494e-05,53.94
0.020077,0.020067,554,798,5.100000000000243e-05,53.50
0.020068,0.020067,308,773,3.899999999999737e-05,51.48
0.020067,0.020067,191,704,3.500000000000031e-05,51.25
0.020080,0.020068,281,680,4.49999999999999e-05,54.14
0.020092,0.020070,337,668,5.4999999999999494e-05,56.69
0.020094,0.020073,428,670,5.400000000000196e-05,57.12
0.020093,0.020074,466,668,5.000000000000143e-05,56.82
0.020080,0.020075,343,640,3.500000000000031e-05,52.89
0.020062,0.020074,362,642,1.4000000000000123e-05,47.96
0.020068,0.020073,283,642,-0.00010500000000000093,49.64
0.020065,0.020072,336,625,-0.00010500000000000093,48.79
0.020045,0.020070,281,614,-0.00011999999999999858,43.44
0.020046,0.020068,352,595,-0.00011199999999999752,43.77
0.020050,0.020066,211,583,-0.0001010000000000004,45.16
0.020049,0.020064,349,382,-9.499999999999786e-05,44.86
0.020039,0.020062,281,352,-9.699999999999986e-05,41.88
0.020062,0.020062,277,333,-6.600000000000009e-05,50.09
0.020061,0.020062,176,320,-6.0000000000001025e-05,49.76
0.020065,0.020062,113,312,-4.900000000000043e-05,51.14
0.020066,0.020062,154,304,-4.200000000000037e-05,51.50
0.020069,0.020063,108,282,-3.299999999999831e-05,52.62
0.020073,0.020064,186,276,-2.3999999999999716e-05,54.15
0.020095,0.020067,300,281,5.7999999999999025e-05,61.50
0.020089,0.020069,263,280,5.099999999999896e-05,58.73
0.020106,0.020073,305,279,6.499999999999909e-05,63.71
0.020114,0.020077,388,277,6.700000000000109e-05,65.80
0.020106,0.020079,666,287,5.3999999999998494e-05,61.96
0.020096,0.020081,543,297,3.999999999999837e-05,57.44
0.020112,0.020084,447,301,5.199999999999996e-05,62.19
0.020110,0.020086,168,295,4.49999999999999e-05,61.27
0.020103,0.020088,353,296,3.500000000000031e-05,58.03
0.020097,0.020089,182,291,2.5000000000000716e-05,55.33
0.020100,0.020090,1142.0,330,2.5000000000000716e-05,56.43
0.020102,0.020091,179,329,2.3999999999999716e-05,57.18
0.020091,0.020091,291,326,9.999999999999593e-06,51.88
0.020076,0.020090,650,344,-5.199999999999996e-05,45.67
0.020050,0.020086,194,340,-7.500000000000215e-05,37.32
0.020039,0.020081,263,345,-8.000000000000021e-05,34.45
0.019872,0.020061,4574.0,568,-0.0002249999999999995,15.27
0.019826,0.020039,4520.0,786,-0.0002370000000000011,13.10
0.019818,0.020018,2017.0,881,-0.00021400000000000238,12.77
0.019800,0.019997,1414.0,943,-0.00020399999999999932,12.01
0.019792,0.019978,1087.0,982,-0.00018800000000000067,11.68
0.019780,0.019959,770,1008.0,-0.00017700000000000007,11.19
0.019779,0.019942,933,1039.0,-0.0001539999999999979,11.14
0.019750,0.019923,1050.0,1072.0,-0.0001570000000000009,9.96
0.019760,0.019908,628,1070.0,-0.00012200000000000058,13.37
0.019757,0.019881,816,1094.0,-8.100000000000121e-05,13.20
0.019731,0.019867,495,1110.0,-8.400000000000074e-05,11.77
0.019707,0.019851,522,1119.0,-8.500000000000174e-05,10.63
0.019718,0.019839,588,1139.0,-5.4999999999999494e-05,14.72
0.019690,0.019824,773,1121.0,-6.300000000000056e-05,13.08
0.019680,0.019811,285,1126.0,-5.6000000000000494e-05,12.54
0.019686,0.019799,1004.9999999999999,1162.0,-3.600000000000131e-05,14.80
0.019705,0.019790,197,1139.0,-4.9999999999980616e-06,21.71
0.019700,0.019781,285,1144.0,-7.000000000000062e-06,21.22
0.019719,0.019775,538,1157.0,5.400000000000196e-05,27.85
0.019729,0.019771,301,944,6.0999999999998555e-05,31.14
0.019751,0.019769,705,753,7.500000000000215e-05,37.85
0.019742,0.019766,337,669,5.9000000000000025e-05,36.29
0.019764,0.019766,395,618,7.499999999999868e-05,42.51
0.019773,0.019767,186,573,7.499999999999868e-05,44.89
0.019787,0.019769,201,544,8.099999999999774e-05,48.45
0.019796,0.019771,483,522,8.200000000000221e-05,50.66
0.019771,0.019773,250,473,3.399999999999931e-05,44.51
0.019774,0.019774,387,460,2.6999999999999247e-05,45.37
0.019789,0.019775,599,449,3.300000000000178e-05,49.56
0.019793,0.019777,348,441,3.400000000000278e-05,50.65
0.019779,0.019777,254,428,-5.5999999999997024e-05,46.84
0.019758,0.019775,264,412,-7.399999999999768e-05,41.77
0.019740,0.019772,669,407,-8.499999999999827e-05,37.98
0.019735,0.019766,484,378,-7.700000000000068e-05,36.90
0.019715,0.019761,186,377,-8.89999999999988e-05,32.87
0.019713,0.019756,194,373,-8.099999999999774e-05,32.49
0.019737,0.019754,238,358,-4.799999999999943e-05,41.30
0.019740,0.019753,289,357,-3.599999999999784e-05,42.31
0.019758,0.019753,323,338,-1.0999999999997123e-05,48.10
0.019765,0.019755,411,342,6.500000000000256e-05,50.20
0.019779,0.019757,326,338,7.600000000000315e-05,54.18
0.019770,0.019758,726,365,6.0999999999998555e-05,51.34
0.019761,0.019758,553,383,4.70000000000019e-05,48.59
0.019792,0.019762,436,381,7.100000000000162e-05,57.10
0.019793,0.019765,585,388,6.300000000000056e-05,57.35
0.019769,0.019767,534,408,2.0999999999996716e-05,49.47
0.019766,0.019767,402,399,9.999999999999593e-06,48.58
0.019778,0.019768,733,418,-3.299999999999831e-05,52.30
0.019763,0.019768,351,423,-4.70000000000019e-05,47.65
0.019767,0.019768,258,422,-4.200000000000037e-05,48.96
0.019759,0.019767,290,403,-4.70000000000019e-05,46.47
0.019755,0.019766,1224.0,453,-4.899999999999696e-05,45.23
0.019758,0.019765,277,443,-4.39999999999989e-05,46.38
0.019750,0.019763,560,475,-4.799999999999943e-05,43.54
0.019757,0.019762,455,486,-3.900000000000084e-05,46.62
0.019784,0.019764,582,500,-9.999999999999593e-06,56.48
0.019804,0.019770,460,498,5.3999999999998494e-05,62.44
0.019850,0.019778,1561.0,560,9.299999999999933e-05,71.96
0.019809,0.019781,395,543,4.49999999999999e-05,57.88
0.019813,0.019784,901,561,4.300000000000137e-05,58.73
0.019810,0.019786,671,572,3.400000000000278e-05,57.79
0.019800,0.019787,288,558,1.9000000000001654e-05,54.65
0.019770,0.019786,486,556,-9.600000000000233e-05,46.49
0.019776,0.019785,417,550,-8.800000000000127e-05,48.16
0.019783,0.019785,556,558,-7.700000000000068e-05,50.11
0.019803,0.019786,698,556,-5.2999999999997494e-05,55.29
0.019779,0.019786,330,555,-7.300000000000015e-05,48.75
0.019774,0.019785,699,577,-7.499999999999868e-05,47.49
0.019787,0.019785,243,575,-5.8000000000002494e-05,51.03
0.019770,0.019783,320,529,-7.199999999999915e-05,46.60
0.019750,0.019780,410,536,-8.599999999999927e-05,41.98
0.019745,0.019777,362,531,-8.299999999999974e-05,40.89
0.019755,0.019775,360,521,-6.599999999999662e-05,44.03
0.019751,0.019773,319,514,-6.299999999999709e-05,43.04
0.019770,0.019772,356,503,-3.500000000000031e-05,48.88
0.019762,0.019771,358,510,-3.600000000000131e-05,46.71
0.019767,0.019771,309,502,-2.3999999999999716e-05,48.26
0.019761,0.019770,131,430,-2.5000000000000716e-05,46.51
0.019767,0.019770,296,425,-1.2999999999999123e-05,48.52
0.019766,0.019769,196,390,-9.000000000002062e-06,48.19
0.019732,0.019766,993,406,-3.900000000000084e-05,38.72
0.019752,0.019764,549,419,-1.1000000000000593e-05,45.51
0.019716,0.019760,227,406,-3.900000000000084e-05,37.46
0.019751,0.019759,247,398,5.000000000000143e-05,47.23
0.019748,0.019758,209,381,4.60000000000009e-05,46.56
0.019744,0.019757,210,356,4.100000000000284e-05,45.63
0.019747,0.019756,177,349,4.300000000000137e-05,46.49
0.019733,0.019754,641,346,2.6999999999999247e-05,43.05
0.019724,0.019751,173,342,1.6999999999999654e-05,40.95
0.019753,0.019751,160,334,4.39999999999989e-05,49.49
0.019768,0.019753,290,328,5.4999999999999494e-05,53.26
0.019771,0.019754,216,321,5.400000000000196e-05,54.00
0.019794,0.019758,309,318,7.099999999999815e-05,59.30
0.019800,0.019762,114,308,6.900000000000309e-05,60.58
0.019830,0.019769,241,302,8.700000000000027e-05,66.28
