price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017513,0.017622,0.017621,0.017617,0.017611,0.017603,0.017595,0.017587,1245.0,1188.0,0.017574
0.017540,0.017614,0.017615,0.017612,0.017607,0.017600,0.017593,0.017585,405,1195.0,0.0175787
0.017543,0.017607,0.017610,0.017608,0.017603,0.017598,0.017591,0.017583,767,1207.0,0.0175832
0.017558,0.017602,0.017606,0.017605,0.017601,0.017596,0.017589,0.017582,366,1201.0,0.0175878
0.017543,0.017597,0.017601,0.017601,0.017598,0.017593,0.017587,0.017581,749,1204.0,0.0175932
0.017552,0.017593,0.017597,0.017598,0.017595,0.017591,0.017586,0.017580,339,1163.0,0.0175993
0.017579,0.017591,0.017596,0.017596,0.017594,0.017590,0.017585,0.017580,558,1116.0,0.0176035
0.017600,0.017592,0.017596,0.017597,0.017595,0.017591,0.017586,0.017581,415,1080.0,0.0176041
0.017633,0.017596,0.017599,0.017599,0.017597,0.017593,0.017588,0.017583,471,982,0.0176006
0.017584,0.017595,0.017598,0.017598,0.017596,0.017593,0.017588,0.017583,398,897,0.0176012
0.017608,0.017596,0.017598,0.017599,0.017597,0.017593,0.017589,0.017584,165,838,0.0175993
0.017587,0.017595,0.017598,0.017598,0.017596,0.017593,0.017589,0.017584,291,824,0.017600499999999998
0.017588,0.017595,0.017597,0.017597,0.017596,0.017593,0.017589,0.017584,371,649,0.0176052
0.017604,0.017595,0.017597,0.017598,0.017596,0.017593,0.017589,0.017585,449,593,0.0176085
0.017597,0.017596,0.017597,0.017598,0.017596,0.017593,0.017590,0.017585,480,516,0.0176128
0.017613,0.017597,0.017599,0.017599,0.017597,0.017594,0.017591,0.017586,506,509,0.0176167
0.017621,0.017600,0.017600,0.017600,0.017598,0.017596,0.017592,0.017588,225,491,0.0176206
0.017606,0.017600,0.017601,0.017600,0.017599,0.017596,0.017593,0.017588,463,488,0.017625500000000002
0.017598,0.017600,0.017601,0.017600,0.017599,0.017596,0.017593,0.017589,370,478,0.017629200000000005
0.017590,0.017599,0.017600,0.017600,0.017598,0.017596,0.017593,0.017589,1083.0,506,0.0176343
0.017589,0.017598,0.017599,0.017599,0.017598,0.017596,0.017593,0.017589,286,458,0.0176415
0.017599,0.017598,0.017599,0.017599,0.017598,0.017596,0.017593,0.017589,306,453,0.017645
0.017635,0.017602,0.017602,0.017601,0.017600,0.017598,0.017595,0.017591,967,463,0.017643
0.017637,0.017605,0.017604,0.017604,0.017602,0.017600,0.017597,0.017593,489,469,0.017638499999999998
0.017640,0.017608,0.017607,0.017606,0.017604,0.017602,0.017598,0.017595,214,442,0.0176351
0.017652,0.017612,0.017611,0.017609,0.017607,0.017604,0.017601,0.017597,340,442,0.0176319
0.017660,0.017617,0.017614,0.017612,0.017610,0.017607,0.017603,0.017599,416,435,0.0176255
0.017655,0.017621,0.017618,0.017615,0.017612,0.017609,0.017606,0.017602,296,429,0.0176203
0.017635,0.017622,0.017619,0.017616,0.017614,0.017610,0.017607,0.017603,241,418,0.017617300000000002
0.017641,0.017624,0.017621,0.017618,0.017615,0.017612,0.017608,0.017604,335,415,0.0176141
0.017661,0.017627,0.017624,0.017621,0.017618,0.017614,0.017611,0.017607,540,433,0.017608000000000002
0.017634,0.017628,0.017624,0.017621,0.017619,0.017615,0.017612,0.017608,430,440,0.0176047
0.017615,0.017627,0.017624,0.017621,0.017618,0.017615,0.017612,0.017608,438,444,0.0176018
0.017592,0.017623,0.017621,0.017619,0.017617,0.017614,0.017611,0.017607,571,450,0.017599399999999998
0.017606,0.017622,0.017620,0.017618,0.017616,0.017614,0.017611,0.017607,640,458,0.0175974
0.017620,0.017622,0.017620,0.017618,0.017616,0.017614,0.017611,0.017608,810,473,0.0175931
0.017596,0.017619,0.017618,0.017617,0.017615,0.017613,0.017610,0.017607,226,473,0.0175847
0.017603,0.017618,0.017617,0.017616,0.017615,0.017613,0.017610,0.017607,340,467,0.0175744
0.017605,0.017616,0.017616,0.017615,0.017614,0.017612,0.017610,0.017607,235,460,0.017564200000000002
0.017609,0.017615,0.017615,0.017614,0.017613,0.017612,0.017610,0.017607,226,420,0.0175533
0.017600,0.017613,0.017614,0.017613,0.017613,0.017611,0.017609,0.017607,551,433,0.0175427
0.017601,0.017612,0.017613,0.017613,0.017612,0.017611,0.017609,0.017607,198,394,0.017534200000000003
0.017586,0.017610,0.017611,0.017611,0.017611,0.017609,0.017608,0.017606,637,401,0.017528000000000002
0.017568,0.017606,0.017607,0.017608,0.017608,0.017607,0.017606,0.017604,957,439,0.017523300000000002
0.017586,0.017601,0.017603,0.017604,0.017605,0.017605,0.017604,0.017602,363,425,0.017516200000000003
0.017577,0.017598,0.017601,0.017603,0.017603,0.017603,0.017603,0.017601,268,423,0.017510500000000002
0.017512,0.017590,0.017594,0.017597,0.017598,0.017599,0.017599,0.017598,3755.0,599,0.0175153
0.017500,0.017582,0.017587,0.017590,0.017593,0.017594,0.017594,0.017594,632,614,0.0175244
0.017503,0.017574,0.017580,0.017585,0.017588,0.017590,0.017590,0.017590,1197.0,647,0.017533399999999998
0.017500,0.017567,0.017574,0.017579,0.017583,0.017585,0.017586,0.017587,348,643,0.0175438
0.017494,0.017560,0.017568,0.017574,0.017578,0.017581,0.017582,0.017583,314,636,0.0175541
0.017516,0.017556,0.017564,0.017570,0.017575,0.017578,0.017580,0.017580,357,626,0.0175623
0.017524,0.017553,0.017561,0.017567,0.017572,0.017575,0.017577,0.017578,802,634,0.017570999999999996
0.017521,0.017550,0.017558,0.017564,0.017569,0.017572,0.017575,0.017576,222,604,0.017582400000000005
0.017515,0.017544,0.017552,0.017558,0.017563,0.017567,0.017570,0.017572,216,644,0.017596200000000003
0.017520,0.017542,0.017550,0.017556,0.017561,0.017565,0.017568,0.017570,266,645,0.0176067
0.017560,0.017543,0.017550,0.017556,0.017561,0.017565,0.017567,0.017569,339,645,0.0176136
0.017591,0.017548,0.017553,0.017558,0.017563,0.017566,0.017568,0.017570,578,662,0.017617100000000004
0.017593,0.017552,0.017556,0.017561,0.017564,0.017567,0.017569,0.017571,476,659,0.017621699999999997
0.017604,0.017557,0.017560,0.017563,0.017566,0.017569,0.017571,0.017572,233,660,0.0176232
0.017597,0.017561,0.017563,0.017566,0.017568,0.017570,0.017572,0.017573,628,660,0.0176237
