close_price,open_price,ema20,vol,vol_ema,sar,klinger
0.026811,0.026782,0.026715,1220.0,1778.0,0.00014,-40.0
0.026817,0.026818,0.026725,1054.0,1777.0,0.0001,-63.0
0.026624,0.026821,0.026716,1596.0,1737.0,-0.00043,-89.0
0.026708,0.026623,0.026715,1390.0,1700.0,-0.00033,-53.0
0.026818,0.026708,0.026725,1271.0,1677.0,-0.00021,-27.0
0.026796,0.026819,0.026731,1197.0,1646.0,-0.00023,-7.0
0.026746,0.026797,0.026733,680,1559.0,-0.00027,-27.0
0.026819,0.026747,0.026741,731,1529.0,-0.00019,-15.0
0.026842,0.026825,0.026751,1342.0,1531.0,-0.00015,5.0
0.026852,0.026842,0.026760,1628.0,1541.0,-0.00014,26.0
0.026870,0.026852,0.026771,1391.0,1508.0,-0.00011,38.0
0.026878,0.026876,0.026781,449,1482.0,-9e-05,29.0
0.026856,0.026878,0.026788,313,1422.0,-0.00011,8.0
0.026861,0.026858,0.026795,624,1385.0,-0.0001,-15.0
0.026736,0.026859,0.026789,883,1322.0,-0.00021,-37.0
0.026754,0.026734,0.026786,342,1225.0,-0.00019,-43.0
0.026816,0.026755,0.026789,374,1138.0,-0.00012,-35.0
0.026803,0.026820,0.026790,322,1068.0,-0.00012,-40.0
0.026782,0.026805,0.026789,331,945,-0.00014,-44.0
0.026823,0.026785,0.026793,384,876,-9e-05,-33.0
0.026833,0.026826,0.026796,587,844,-7e-05,-21.0
0.026883,0.026832,0.026805,852,834,0.00031,-6.0
0.026881,0.026882,0.026812,1492.0,829,0.0003,-37.0
0.026949,0.026883,0.026825,877,804,0.00036,-17.0
0.026809,0.026954,0.026824,718,776,0.00021,-30.0
0.026819,0.026810,0.026823,366,734,0.0002,-33.0
0.026821,0.026819,0.026823,572,729,0.00019,-18.0
0.026888,0.026820,0.026829,1333.0,759,0.00024,7.0
0.026914,0.026888,0.026837,1246.0,754,0.00026,26.0
0.027099,0.026916,0.026862,2069.0,776,0.00043,56.0
0.027004,0.027084,0.026876,1075.0,760,0.00031,20.0
0.026954,0.027008,0.026883,725,774,0.00023,-2.0
0.026941,0.026948,0.026889,981,808,0.0002,-23.0
0.027000,0.026943,0.026899,1166.0,835,0.00024,1.0
0.026999,0.026996,0.026909,2748.0,928,0.00022,48.0
0.027002,0.026999,0.026918,382,930,0.00019,27.0
0.026942,0.026993,0.026920,717,947,0.00011,3.0
0.026943,0.026944,0.026922,562,959,9e-05,-12.0
0.026890,0.026936,0.026919,853,985,2e-05,-28.0
0.026904,0.026883,0.026918,872,1010.0,-0.0002,-41.0
0.026901,0.026908,0.026916,794,1020.0,-0.0002,-21.0
0.026895,0.026906,0.026914,514,1002.9999999999999,-0.0002,-27.0
0.026847,0.026898,0.026908,469,952,-0.00023,-32.0
0.026902,0.026847,0.026907,480,932,-0.00016,-17.0
0.026856,0.026901,0.026902,620,927,-0.00019,-26.0
0.026842,0.026849,0.026897,792,949,-0.00018,-35.0
0.026923,0.026842,0.026899,501,945,-8e-05,-18.0
0.026971,0.026922,0.026906,368,897,0.00017,-6.0
0.026973,0.026972,0.026912,654,867,0.00017,8.0
0.026955,0.026974,0.026916,329,780,0.00014,1.0
0.026974,0.026955,0.026922,374,745,0.00016,9.0
0.026989,0.026974,0.026928,467,732,0.00017,16.0
0.026976,0.026990,0.026933,467,706,0.00016,5.0
0.027021,0.026976,0.026941,850,691,0.00019,21.0
0.027049,0.027026,0.026951,1006.0,604,0.00021,36.0
0.027006,0.027038,0.026957,598,614,0.00015,17.0
0.026967,0.027008,0.026958,360,596,9e-05,7.0
0.027004,0.026972,0.026962,583,598,0.0001,16.0
0.026987,0.027013,0.026964,857,598,-9e-05,-2.0
0.026962,0.026990,0.026964,339,571,-0.00011,4.0
0.026944,0.026962,0.026962,400,551,-0.00013,-3.0
0.026957,0.026944,0.026962,246,538,-0.00011,2.0
0.026983,0.026960,0.026964,781,554,-8e-05,16.0
0.027053,0.026983,0.026972,395,549,-1e-05,20.0
0.027070,0.027053,0.026982,530,545,0.00016,26.0
0.027111,0.027071,0.027002,520,527,0.00019,31.0
0.027127,0.027112,0.027013,786,548,0.00019,38.0
0.027111,0.027124,0.027023,804,556,0.00016,43.0
0.027173,0.027108,0.027037,455,562,0.0002,39.0
0.027404,0.027173,0.027072,2292.0,658,0.00041,70.0
0.027428,0.027405,0.027106,3235.0,796,0.00038,111.0
0.027335,0.027426,0.027128,1122.0,829,0.00021,61.0
0.027501,0.027334,0.027163,1726.0,873,0.00031,73.0
0.027515,0.027502,0.027197,1321.0,889,0.00027,73.0
0.027488,0.027514,0.027225,1463.0,932,0.00019,22.0
0.027451,0.027491,0.027246,930,960,0.0001,-9.0
0.027497,0.027452,0.027270,969,980,0.00011,2.0
0.027580,0.027497,0.027300,1387.0,1006.0,0.00018,18.0
0.027585,0.027584,0.027327,1560.0,1067.0,0.00019,33.0
0.027600,0.027583,0.027353,789,1087.0,0.00015,2.0
0.027528,0.027600,0.027369,2020.0,1175.0,-0.00013,-45.0
0.027573,0.027530,0.027389,1344.0,1204.0,-8e-05,-21.0
0.027504,0.027574,0.027400,680,1218.0,-0.00015,-38.0
0.027411,0.027504,0.027401,1018.9999999999999,1242.0,-0.00023,-57.0
0.027391,0.027418,0.027400,1377.0,1290.0,-0.00024,-77.0
0.027408,0.027392,0.027401,735,1301.0,-0.0002,-54.0
0.027494,0.027407,0.027410,1441.0,1334.0,-9e-05,-22.0
0.027450,0.027493,0.027413,694,1328.0,-0.00013,-36.0
0.027462,0.027445,0.027418,418,1326.0,-0.00011,-41.0
0.027393,0.027460,0.027416,329,1228.0,-0.00016,-42.0
0.027425,0.027402,0.027417,365,1084.0,-0.00011,-31.0
0.027468,0.027427,0.027421,430,1050.0,-5e-05,-20.0
0.027619,0.027463,0.027440,924,1010.0,0.00031,-1.0
0.027599,0.027619,0.027455,1257.0,1006.9999999999999,0.00028,18.0
0.027686,0.027599,0.027477,891,978,0.00036,28.0
0.027749,0.027687,0.027503,3376.0,1100.0,0.0004,80.0
0.027770,0.027750,0.027529,3707.0,1237.0,0.00039,125.0
0.027715,0.027761,0.027546,914,1213.0,0.00029,73.0
0.027720,0.027706,0.027563,1057.0,1188.0,0.00025,30.0
0.027840,0.027721,0.027589,1631.0,1230.0,0.00033,45.0
0.027865,0.027840,0.027616,961,1177.0,0.00032,44.0
0.027742,0.027864,0.027628,1008.9999999999999,1161.0,0.00016,5.0
0.027733,0.027741,0.027638,1373.0,1195.0,0.00011,-32.0
0.027696,0.027727,0.027643,785,1184.0,4e-05,-49.0
0.027723,0.027698,0.027651,530,1141.0,6e-05,-38.0
0.027759,0.027726,0.027661,649,1137.0,9e-05,-26.0
0.027773,0.027746,0.027672,1022.9999999999999,1116.0,8e-05,-10.0
