close_price,open_price,high_price,low_price,ema_dif,rsi
765.44,764.5200000000001,765.58,764.26,0.07000000000005002,52.73
765.35,765.44,765.87,765.01,0.08999999999991815,52.09
764.8399999999999,765.35,765.66,764.8399999999999,0.020000000000095497,48.50
764.7099999999999,764.98,765.2299999999999,764.49,-0.02999999999985903,47.60
763.2700000000001,764.88,765.3699999999999,763.2700000000001,-0.2799999999999727,38.96
764.18,763.4399999999999,764.62,763.43,-0.2499999999998863,45.67
763.6,764.19,764.6,763.5,-0.31999999999993634,42.46
762.72,763.6700000000001,763.91,762.27,-0.4700000000000273,38.10
762.84,762.66,763.29,762.0,-0.4999999999998863,39.02
764.99,762.82,764.99,762.63,-0.16000000000008185,52.62
765.46,764.99,765.9000000000001,764.98,0.09999999999990905,54.99
764.4,765.57,765.89,764.37,0.07999999999992724,49.04
766.89,764.42,767.06,764.4,0.4399999999998272,59.98
