price,supertrendSell,supertrendBuy,rsi,ema
0.062205,n/a,0.06,60.44,0.060963
0.062181,n/a,0.06,59.63,0.060975
0.062197,n/a,0.06,59.61,0.060987
0.062142,n/a,0.06,52.29,0.060999
0.062231,n/a,0.06,52.11,0.061011
0.062225,n/a,0.06,50.49,0.061023
0.062205,n/a,0.06,43.66,0.061035
0.062150,n/a,0.06,25.02,0.061046
0.062185,n/a,0.06,10.38,0.061057
0.062196,n/a,0.06,7.76,0.061068
0.062331,n/a,0.06,42.17,0.061092
0.062367,n/a,0.06,71.09,0.061105
0.062293,n/a,0.06,77.30,0.061117
0.062358,n/a,0.06,64.54,0.061129
0.062355,n/a,0.06,50.84,0.061141
0.062480,n/a,0.06,73.54,0.061155
0.062507,n/a,0.06,86.30,0.061168
0.062529,n/a,0.06,100.00,0.061182
0.062285,n/a,0.06,66.67,0.061193
0.062363,n/a,0.06,39.79,0.061204
0.062241,n/a,0.06,6.46,0.061214
0.062200,n/a,0.06,6.46,0.061224
0.062103,0.06,n/a,0.00,0.061233
0.062187,0.06,n/a,5.21,0.061243
0.062256,0.06,n/a,14.36,0.061253
0.062299,0.06,n/a,25.88,0.061263
0.062409,0.06,n/a,37.76,0.061274
0.062472,0.06,n/a,48.58,0.061286
0.062567,n/a,0.06,61.03,0.061299
0.062770,n/a,0.06,74.83,0.061314
0.062817,n/a,0.06,87.11,0.061329
0.062716,n/a,0.06,88.88,0.061342
0.062668,n/a,0.06,80.34,0.061356
0.062750,n/a,0.06,73.62,0.061370
0.062914,n/a,0.06,78.93,0.061385
0.062818,n/a,0.06,80.96,0.061399
0.062796,n/a,0.06,76.29,0.061413
0.062857,n/a,0.06,67.23,0.061427
0.062786,n/a,0.06,55.79,0.061441
0.062693,n/a,0.06,34.92,0.061453
0.062607,n/a,0.06,12.93,0.061465
0.062550,n/a,0.06,0.00,0.061476
0.062523,n/a,0.06,0.00,0.061486
0.062439,n/a,0.06,0.00,0.061496
0.062119,0.06,n/a,0.00,0.061502
0.062209,0.06,n/a,4.10,0.061509
0.062066,0.06,n/a,4.57,0.061514
0.062157,0.06,n/a,9.03,0.061521
0.061975,0.06,n/a,4.97,0.061525
0.061952,0.06,n/a,4.50,0.061530
0.062126,0.06,n/a,8.31,0.061535
0.062150,0.06,n/a,18.96,0.061542
0.062272,0.06,n/a,39.21,0.061549
0.062278,0.06,n/a,56.14,0.061556
0.062251,0.06,n/a,72.62,0.061563
0.062145,0.06,n/a,73.07,0.061569
0.062110,0.06,n/a,66.71,0.061574
0.062250,0.06,n/a,72.88,0.061581
0.062260,0.06,n/a,85.51,0.061588
0.062227,0.06,n/a,96.86,0.061594
0.062277,0.06,n/a,96.86,0.061601
0.062248,0.06,n/a,94.02,0.061607
0.062349,0.06,n/a,97.16,0.061615
0.062302,0.06,n/a,90.29,0.061621
0.062270,0.06,n/a,81.52,0.061628
0.062249,0.06,n/a,66.78,0.061634
0.062300,0.06,n/a,67.16,0.061641
0.062306,0.06,n/a,73.25,0.061647
0.062433,0.06,n/a,87.99,0.061655
0.062483,0.06,n/a,94.49,0.061663
0.062438,0.06,n/a,92.28,0.061671
0.062435,0.06,n/a,84.04,0.061679
0.062510,0.06,n/a,84.04,0.061687
0.062590,0.06,n/a,91.76,0.061696
0.062593,0.06,n/a,100.00,0.061705
0.062555,0.06,n/a,93.75,0.061713
0.062564,0.06,n/a,88.45,0.061722
0.062499,0.06,n/a,72.41,0.061730
0.062467,0.06,n/a,57.65,0.061737
0.062401,0.06,n/a,29.62,0.061744
0.062501,0.06,n/a,26.38,0.061751
0.062595,0.06,n/a,39.14,0.061759
0.062526,0.06,n/a,53.29,0.061767
0.062510,0.06,n/a,50.93,0.061774
0.062564,0.06,n/a,44.34,0.061782
0.062604,0.06,n/a,53.46,0.061791
0.062655,n/a,0.06,70.87,0.061799
0.062474,n/a,0.06,53.85,0.061806
0.062405,n/a,0.06,30.57,0.061812
0.062465,n/a,0.06,8.79,0.061818
0.062296,n/a,0.06,7.32,0.061823
0.062316,n/a,0.06,9.26,0.061828
0.062474,n/a,0.06,17.61,0.061834
0.062476,n/a,0.06,33.44,0.061841
0.062383,n/a,0.06,39.75,0.061846
0.062423,n/a,0.06,35.84,0.061852
0.062394,n/a,0.06,29.35,0.061857
0.062405,n/a,0.06,31.49,0.061863
0.062272,n/a,0.06,19.73,0.061867
0.062181,0.06,n/a,10.39,0.061870
0.062258,0.06,n/a,11.75,0.061874
0.062044,0.06,n/a,11.75,0.061875
0.062168,0.06,n/a,25.37,0.061878
0.062202,0.06,n/a,30.72,0.061882
0.062099,0.06,n/a,40.28,0.061884
0.062197,0.06,n/a,46.25,0.061887
0.062133,0.06,n/a,43.91,0.061889
0.062199,0.06,n/a,59.53,0.061892
0.062233,0.06,n/a,69.08,0.061896
0.062248,0.06,n/a,87.18,0.061899
0.062240,0.06,n/a,93.89,0.061903
0.062202,0.06,n/a,92.29,0.061906
0.062245,0.06,n/a,92.76,0.061909
0.062212,0.06,n/a,89.80,0.061912
0.062157,0.06,n/a,84.07,0.061915
0.062010,0.06,n/a,50.73,0.061915
0.062002,0.06,n/a,21.81,0.061916
0.061906,0.06,n/a,0.00,0.061916
0.062003,0.06,n/a,14.76,0.061917
0.061945,0.06,n/a,24.35,0.061917
0.061965,0.06,n/a,36.95,0.061918
0.062092,0.06,n/a,52.32,0.061920
0.062021,0.06,n/a,65.51,0.061921
0.061937,0.06,n/a,67.76,0.061921
0.061859,0.06,n/a,45.84,0.061920
0.061852,0.06,n/a,30.68,0.061919
0.061779,0.06,n/a,17.57,0.061918
0.061854,0.06,n/a,23.79,0.061917
0.061924,0.06,n/a,41.42,0.061917
0.061940,0.06,n/a,67.35,0.061918
0.061946,0.06,n/a,81.57,0.061918
0.061990,0.06,n/a,89.64,0.061919
0.061819,0.06,n/a,75.03,0.061918
0.061685,0.06,n/a,47.39,0.061915
0.061671,0.06,n/a,14.05,0.061913
0.061693,0.06,n/a,4.79,0.061911
0.061621,0.06,n/a,3.80,0.061908
0.061805,0.06,n/a,30.06,0.061907
0.061838,0.06,n/a,56.53,0.061906
0.061948,0.06,n/a,89.87,0.061907
0.061894,0.06,n/a,92.28,0.061906
0.061960,0.06,n/a,95.34,0.061907
0.062128,n/a,0.06,95.34,0.061909
0.062012,n/a,0.06,92.67,0.061910
0.062049,n/a,0.06,87.23,0.061912
0.062179,n/a,0.06,87.23,0.061914
0.062268,n/a,0.06,94.56,0.061918
0.062141,n/a,0.06,92.86,0.061920
0.062234,n/a,0.06,89.27,0.061923
0.062181,n/a,0.06,82.80,0.061926
0.062300,n/a,0.06,86.67,0.061929
0.062377,n/a,0.06,90.25,0.061934
0.062382,n/a,0.06,96.73,0.061938
0.062306,n/a,0.06,90.30,0.061942
0.062158,n/a,0.06,56.96,0.061944
0.062122,n/a,0.06,23.63,0.061946
0.062172,n/a,0.06,5.52,0.061948
0.062274,n/a,0.06,21.58,0.061951
0.062270,n/a,0.06,37.10,0.061955
0.062178,n/a,0.06,35.00,0.061957
0.062206,n/a,0.06,25.62,0.061959
0.062162,n/a,0.06,10.94,0.061961
0.062154,n/a,0.06,7.52,0.061963
0.062134,n/a,0.06,0.84,0.061965
0.062121,n/a,0.06,0.00,0.061966
0.062129,n/a,0.06,1.13,0.061968
0.062134,n/a,0.06,3.75,0.061970
0.062046,n/a,0.06,3.75,0.061970
0.062115,n/a,0.06,15.06,0.061972
0.062081,n/a,0.06,19.42,0.061973
0.062157,n/a,0.06,39.41,0.061975
0.062048,n/a,0.06,30.10,0.061976
0.062125,n/a,0.06,44.82,0.061977
0.062066,n/a,0.06,34.41,0.061978
0.062083,n/a,0.06,47.39,0.061979
0.062118,n/a,0.06,51.55,0.061980
0.062088,n/a,0.06,59.60,0.061981
0.062134,n/a,0.06,74.40,0.061983
0.062095,n/a,0.06,68.14,0.061984
0.062079,n/a,0.06,65.51,0.061985
0.061999,n/a,0.06,34.59,0.061985
0.062043,n/a,0.06,27.24,0.061986
0.062071,n/a,0.06,32.09,0.061987
0.061943,0.06,n/a,32.09,0.061986
0.061676,0.06,n/a,19.83,0.061983
0.061777,0.06,n/a,10.64,0.061981
0.061830,0.06,n/a,26.42,0.061980
0.061831,0.06,n/a,42.29,0.061978
0.061739,0.06,n/a,41.73,0.061976
0.061803,0.06,n/a,42.59,0.061974
0.061798,0.06,n/a,43.01,0.061972
0.061815,0.06,n/a,53.61,0.061971
0.061840,0.06,n/a,61.57,0.061969
0.061887,0.06,n/a,75.89,0.061969
0.062008,0.06,n/a,88.54,0.061969
0.062118,0.06,n/a,97.27,0.061970
0.062171,n/a,0.06,100.00,0.061972
0.062039,n/a,0.06,91.37,0.061973
0.061961,n/a,0.06,75.06,0.061973
0.062000,n/a,0.06,61.44,0.061973
0.061950,n/a,0.06,52.91,0.061973
0.061993,n/a,0.06,55.20,0.061973
0.061886,n/a,0.06,43.43,0.061972
0.061889,n/a,0.06,35.49,0.061971
0.061911,n/a,0.06,25.23,0.061971
0.062001,n/a,0.06,33.71,0.061971
0.061940,n/a,0.06,32.36,0.061971
0.061781,n/a,0.06,23.31,0.061969
0.061920,n/a,0.06,19.38,0.061968
0.061808,n/a,0.06,17.04,0.061967
0.061826,n/a,0.06,27.22,0.061965
0.061838,n/a,0.06,27.87,0.061964
0.061835,n/a,0.06,36.03,0.061963
0.061723,0.06,n/a,25.86,0.061961
0.061800,0.06,n/a,25.67,0.061959
0.061895,0.06,n/a,40.20,0.061958
0.061892,0.06,n/a,67.00,0.061958
0.061799,0.06,n/a,67.77,0.061956
0.061840,0.06,n/a,60.81,0.061955
0.061842,0.06,n/a,59.24,0.061954
0.061908,0.06,n/a,78.85,0.061953
0.061947,0.06,n/a,91.90,0.061953
