price,sar,rsi,macd
0.025518,-0.00013300000000000117,47.48,-0.004
0.025666,0.0002680000000000009,55.55,0.004
0.025724,0.00032100000000000184,58.25,0.013
0.025699,0.00028299999999999853,56.65,0.016
0.025770,0.00033400000000000096,60.02,0.022
0.025739,0.0002730000000000024,57.90,0.022
0.025760,0.00026600000000000235,58.96,0.023
0.025733,0.0002139999999999989,56.98,0.02
0.025625,8.299999999999974e-05,49.80,0.01
0.025597,-0.0002139999999999989,48.10,0.001
0.025657,-0.00014899999999999983,51.88,-0.001
0.025584,-0.00021700000000000191,47.37,-0.007
0.025605,-0.0001910000000000002,48.75,-0.01
0.025662,-0.00012900000000000064,52.40,-0.007
0.025712,-7.400000000000115e-05,55.40,-0.002
0.025628,-0.0001529999999999969,49.73,-0.005
0.025571,-0.00020600000000000132,46.26,-0.01
0.025522,-0.00024500000000000216,43.46,-0.016
0.025533,-0.00021699999999999844,44.28,-0.018000000000000002
0.025458,-0.00027499999999999747,40.03,-0.024
0.025426,-0.00028299999999999853,38.35,-0.028
0.025540,-0.0001360000000000007,46.93,-0.022
0.025516,-0.00011800000000000005,45.50,-0.018000000000000002
0.025525,-7.100000000000162e-05,46.16,-0.014
0.025398,-0.00019699999999999926,38.94,-0.019
0.025419,-0.00017599999999999907,40.59,-0.02
0.025517,-4.49999999999999e-05,47.72,-0.012
0.025462,-7.100000000000162e-05,44.49,-0.01
0.025362,-0.00016800000000000148,39.29,-0.015000000000000001
0.025271,-0.0002590000000000023,35.25,-0.022
0.025303,-0.00018699999999999967,37.68,-0.023
0.025347,-9.99999999999994e-05,40.95,-0.02
0.025307,8.599999999999927e-05,38.95,-0.018000000000000002
0.025603,0.00037799999999999986,56.08,0.003
0.025460,0.00021900000000000044,48.94,0.007
0.025459,0.0001899999999999992,48.89,0.01
0.025624,0.00032899999999999943,56.33,0.023
0.025874,0.0005540000000000024,64.71,0.045000000000000005
0.025929,0.000562,66.24,0.061
0.025832,0.0004040000000000016,61.19,0.062
0.025883,0.0003860000000000009,62.79,0.062
0.025926,0.00036900000000000127,64.14,0.062
0.025935,0.0003249999999999989,64.43,0.059
0.025814,0.0001570000000000009,57.67,0.046
0.025889,0.0001910000000000002,60.44,0.039
0.025928,0.00019399999999999973,61.84,0.034999999999999996
0.025847,8.099999999999774e-05,57.31,0.025
0.025923,0.00012900000000000064,60.25,0.020999999999999998
0.025788,-0.00021200000000000038,53.23,0.009000000000000001
0.025785,-0.00021099999999999938,53.08,-0.001
0.025835,-0.00015000000000000083,55.31,-0.004
0.025780,-0.00019599999999999826,52.36,-0.011
0.025840,-0.00012200000000000058,55.17,-0.011
0.025883,-6.600000000000009e-05,57.12,-0.008
0.025871,-6.499999999999909e-05,56.38,-0.008
0.025765,-0.00016400000000000095,50.22,-0.015000000000000001
0.025705,-0.00022400000000000198,47.08,-0.023
0.025681,-0.00022199999999999998,45.84,-0.029
0.025695,-0.00017600000000000254,46.72,-0.030000000000000002
0.025700,-0.00014300000000000077,47.05,-0.030000000000000002
0.025767,0.00014100000000000223,51.39,-0.024
0.025826,0.00020000000000000226,54.90,-0.016
0.025790,0.0001549999999999989,52.42,-0.013
0.025727,8.299999999999974e-05,48.29,-0.014
0.025812,0.0001590000000000029,53.60,-0.009000000000000001
