close_price,open_price,high_price,low_price,dif_sar,ema50,klinger
177.18,179.78,179.85999999999999,176.26,-3.769999999999982,176.26,-124
177.35999999999999,177.16,178.29999999999998,176.65,-3.2500000000000284,176.26,-287
177.27,177.35,177.93,176.54,-3.019999999999982,176.26,-294
177.65,177.31,177.94,176.89,-2.3899999999999864,176.32999999999998,-11
176.70000000000002,177.66,177.88000000000002,176.2,-3.0199999999999534,179.85999999999999,-33
175.27999999999997,176.65,177.51,175.15,-4.020000000000039,179.79,-73
174.89000000000001,175.27999999999997,175.29,172.28,-3.990000000000009,179.6,-344
173.98,174.91,175.27,173.84,-4.430000000000007,179.16000000000003,42
174.54000000000002,173.97,174.65,173.78,-3.4999999999999716,178.74999999999997,-46
174.16,174.54999999999998,174.65,173.79999999999998,-3.5100000000000193,178.36,-103
173.79999999999998,174.14,174.69,173.72,-3.5,178.0,-119
173.72,173.79,174.25,173.21,-3.240000000000009,177.65,-101
173.99,173.74,174.28,173.41,-2.6899999999999977,177.32999999999998,94
173.02,173.99,174.23000000000002,172.16,-3.309999999999974,177.03,25
173.07,173.0,173.57000000000002,172.60000000000002,-2.9499999999999886,176.64,16
172.72,173.05999999999997,173.22,172.50000000000003,-2.990000000000009,176.28,-43
172.78000000000003,172.71,173.18,172.13,-2.6499999999999773,175.95,-40
172.23,172.78000000000003,172.9,172.05,-2.890000000000015,175.57,-13
171.85,172.22,172.36,171.25,-2.960000000000008,175.15,-75
170.63,171.85,171.98000000000002,170.21,-3.7800000000000296,174.6,-159
170.95,170.60999999999999,172.0,170.49,-3.130000000000024,173.9,101
170.24999999999997,170.96,171.04000000000002,169.86,-3.4700000000000273,173.31,26
171.14000000000001,170.26,171.49,169.58,-2.3300000000000125,172.69,402
171.79,171.14999999999998,172.51,171.01000000000002,-1.5200000000000102,169.58,557
173.08,171.78,173.46,171.59,-0.21000000000000796,169.58,616
173.09,173.05999999999997,173.77,172.04,-0.1799999999999784,169.74,705
172.91,173.1,174.82999999999998,172.79,-0.3299999999999841,169.98,824
173.64999999999998,172.9,174.48999999999998,172.77,0.3699999999999761,170.37,785
173.92999999999998,173.64000000000001,174.04,173.16000000000003,0.5900000000000034,170.72,817
174.72000000000003,173.92999999999998,175.3,173.79,1.25,171.04999999999998,758
175.79000000000002,174.72000000000003,176.0,174.72000000000003,2.1000000000000227,171.48,720
176.07999999999998,175.79000000000002,176.52999999999997,175.61,2.159999999999968,172.01999999999998,682
175.86,176.09,176.2,175.6,1.7600000000000193,172.64999999999998,471
175.92,175.85,175.98,175.27999999999997,1.6399999999999864,173.19,283
175.68,175.91,176.17000000000002,175.64,1.2699999999999818,173.66,253
175.22,175.67,175.76000000000002,174.71,0.7300000000000182,174.06,121
176.24,175.22,176.60999999999999,175.16,1.5900000000000034,174.41000000000003,177
176.01999999999998,176.24,176.8,175.7,1.2399999999999807,174.71,200
175.66,175.99,176.45000000000002,175.47,0.789999999999992,175.09,58
175.67,175.68,175.79999999999998,174.82000000000002,0.7299999999999898,176.8,-106
175.86999999999998,175.67,175.91,175.22,0.839999999999975,176.76000000000002,-7
175.45000000000002,175.85,175.89000000000001,175.17999999999998,0.37999999999999545,176.72,-91
175.27,175.45000000000002,175.67,174.96,0.18000000000000682,176.68,-171
175.09,175.25,175.34,174.65,0.0,176.65,-223
174.76,175.09,175.51000000000002,174.69,-0.30000000000001137,176.57,-283
174.79000000000002,174.75,175.10000000000002,174.72000000000003,-0.23999999999998067,176.49,-299
173.79,174.81,174.88,173.19,-1.1300000000000239,176.42000000000002,-415
174.4,173.79999999999998,174.58,173.69,-0.46999999999999886,176.22,-250
174.0,174.41000000000003,174.47,173.68,-0.7800000000000011,176.04000000000002,-274
173.69,173.99,174.10999999999999,173.23999999999998,-0.9900000000000091,175.86999999999998,-309
